problem_id,argument,version,options,step1_antecedent,step1_consequent,step2_premise,step2_antecedent_link,step2_consequent_link,step2_impossible,step3_inference_type,step3_validity,step3_verification,step4_premise,step4_antecedent_link,step4_consequent_link,step4_impossible,step5_premises
TLU-A-v1.0.0,PであるならばQである。また，QであるならばRである。したがって，PであるならばRである。,1.0.0,"Pである,Qである,Rである",Pである,Rである,Qである,TRUE,TRUE,FALSE,演繹推論,TRUE,TRUE,,,,,
TLU-B-v1.0.0,PであるならばQである。また，QであるならばRである。したがって，RであるならばSである。,1.0.0,"Pである,Qである,Rである,Sである",Rである,Sである,,,TRUE,非形式推論,FALSE,FALSE,,,,,,
TLU-1-1-v1.0.0,犬は哺乳類であり，哺乳類は肺呼吸である．とすると，犬は肺呼吸である．,1.0.0,"犬である,哺乳類である,肺呼吸である",犬である,肺呼吸である,哺乳類である,TRUE,TRUE,FALSE,演繹推論,TRUE,TRUE,,,,,
TLU-1-2-v1.0.0,カラスは卵を産む生き物であり，鳥は卵を産む生き物である．とすると，カラスは鳥である．,1.0.0,"カラスである,鳥である,卵を産む生き物である",カラスである,鳥である,卵を産む生き物である,TRUE,FALSE,FALSE,仮説推論,FALSE,TRUE,,,,,
TLU-1-3-v1.0.0,サルは哺乳類であり，サルは恒温動物である．とすると，哺乳類は恒温動物である．,1.0.0,"サルである,哺乳類である,恒温動物である",哺乳類である,恒温動物である,サルである,FALSE,TRUE,FALSE,仮説推論,FALSE,TRUE,,,,,
TLU-1-10-v1.0.0,サルは肺呼吸であり，霊長類は哺乳類である．とすると，人間は二足歩行である．,1.0.0,"サルである,肺呼吸である,霊長類である,哺乳類である,人間である,二足歩行である",人間である,二足歩行である,,,TRUE,非形式推論,FALSE,FALSE,,,,,,
TLU-1-11-v1.0.0,鳥は空を飛び，空を飛ぶなら羽がある．とすると，羽があるなら鳥である．,1.0.0,"鳥である,空を飛ぶ,羽がある",羽がある,鳥である,空を飛ぶ,FALSE,FALSE,FALSE,非形式推論,FALSE,FALSE,,,,,
LH-1-1-v1.0.0,カナリアは鳥である。したがって、カナリアは空を飛ぶ。なぜならば鳥は空を飛ぶからである。,1.0.0,"カナリアである, カナリアでない, 鳥である, 鳥でない, 空を飛ぶ, 空を飛ばない",,,,,,,,,,,,,,
LH-1-1-v1.0.0,,1.0.0,,,,,,,,,,,,,,,
LH-1-1-v1.0.0,,1.0.0,,,,,,,,,,,,,,,
LH-1-1-v1.0.0,,1.0.0,,,,,,,,,,,,,,,
LH-1-1-v1.0.0,,1.0.0,,,,,,,,,,,,,,,
LH-1-1-v1.0.0,,1.0.0,,,,,,,,,,,,,,,
LH-1-1-v1.0.0,,1.0.0,,,,,,,,,,,,,,,
LH-1-1-v1.0.0,,1.0.0,,,,,,,,,,,,,,,
LH-1-1-v1.0.0,,1.0.0,,,,,,,,,,,,,,,
LH-1-1-v1.0.0,,1.0.0,,,,,,,,,,,,,,,
LH-1-1-v1.0.0,,1.0.0,,,,,,,,,,,,,,,
LH-1-1-v1.0.0,,1.0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
